Listing extensions (default action, see --help).
Looking for the newly published extensions in registry.quarkus.io
Current Quarkus extensions installable: 

✬ ArtifactId                                         Extension                                                    Version                   Guide
✬ camel-quarkus-jacksonxml                           Camel JacksonXML                                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jacksonxml.html
✬ camel-quarkus-jasypt                               Camel Jasypt                                                 3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jasypt.html
✬ camel-quarkus-java-joor-dsl                        Camel Java jOOR DSL                                          3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/java-joor-dsl.html
✬ camel-quarkus-jaxb                                 Camel JAXB                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jaxb.html
✬ camel-quarkus-jcache                               Camel JCache                                                 3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jcache.html
✬ camel-quarkus-jdbc                                 Camel JDBC                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jdbc.html
✬ camel-quarkus-jfr                                  Camel Jfr                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jfr.html
✬ camel-quarkus-jira                                 Camel Jira                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jira.html
✬ camel-quarkus-jms                                  Camel JMS                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jms.html
✬ camel-quarkus-jolt                                 Camel JOLT                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jolt.html
✬ camel-quarkus-joor                                 Camel jOOR                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/joor.html
✬ camel-quarkus-jpa                                  Camel JPA                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jpa.html
✬ camel-quarkus-jq                                   Camel JQ                                                     3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jq.html
✬ camel-quarkus-jsch                                 Camel SCP                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jsch.html
✬ camel-quarkus-jsh-dsl                              Camel JavaShell DSL                                          3.15.1                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jsh-dsl.html
✬ camel-quarkus-jslt                                 Camel JSLT                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jslt.html
✬ camel-quarkus-json-validator                       Camel JSON Schema Validator                                  3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/json-validator.html
✬ camel-quarkus-jsonata                              Camel JSONATA                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jsonata.html
✬ camel-quarkus-jsonb                                Camel JSON-B                                                 3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jsonb.html
✬ camel-quarkus-jsonpath                             Camel JSON Path                                              3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jsonpath.html
✬ camel-quarkus-jt400                                Camel JT400                                                  3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jt400.html
✬ camel-quarkus-jta                                  Camel JTA                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jta.html
✬ camel-quarkus-kafka                                Camel Kafka                                                  3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/kafka.html
✬ camel-quarkus-kamelet                              Camel Kamelet                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/kamelet.html
✬ camel-quarkus-knative                              Camel Knative                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/knative.html
